pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
MAR-HLT,2022-11-17 15:04:00+00:00,2022-11-17 16:26:00+00:00,-1,13.600261705034976,0.7631435750005557,208.80980328904414,-113.87482514965849,86.90284116727358,137.55,158.86,136.97,159.16,2.7167499703767533,1.9078068978765828,-0.8089430725001705,1.6525213081781536,0.39817910380897303,-1.2543422043691805,90.64680638693734,1.4714445500465994,mean_revert
TMO-DHR,2022-11-17 17:50:00+00:00,2022-11-17 18:49:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,64.74096500392493,-41.56323219309148,260.03,530.04,260.42,528.25,-10.372078651345419,-8.832911572647674,1.5391670786977443,-1.7071543860871543,-0.2049412472993222,1.5022131387878321,97.70638100154962,1.9407809756161356,mean_revert
TMO-DHR,2022-11-17 19:44:00+00:00,2022-11-17 20:23:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,65.21677537555114,-41.868699016988565,258.58,527.42,257.91,524.53,-10.140057564089432,-8.954698425856748,1.185359138232684,-1.665322014390525,-0.2825892620582752,1.3827327523322497,75.36622829585532,1.9390723616244698,mean_revert
MAR-HLT,2022-11-17 17:10:00+00:00,2022-11-17 20:57:00+00:00,-1,13.600261705034976,0.7631435750005557,208.80980328904414,-110.37466025622082,84.23171281740412,137.52,159.29,137.65,159.7,2.3585982331265143,2.1757093673762995,-0.1828888657502148,1.7372471980228914,0.3994898057790144,-1.337757392243877,18.754052595766787,1.4322438260604116,mean_revert
TMO-DHR,2022-11-17 20:51:00+00:00,2022-11-18 14:30:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,65.23259842473855,-41.87885730034655,258.86,528.255,265.91,541.97,-10.396121536554574,-12.151052533392487,-1.7549309968379134,-1.7182848394875372,-3.426116288064566,-1.7078314485770287,-116.48086320675627,2.002154226909553,adverse
JPM-BAC,2022-11-17 15:15:00+00:00,2022-11-18 14:30:00+00:00,1,3.6059155142099195,0.25724197980333185,462.3506499853106,617.4784412382347,-158.84137670999883,36.77,131.63,37.74,134.32,-0.6966773157224893,-0.41865824139345165,0.2780190743290376,-2.893172249098443,-0.17781407364525162,2.7153581754531912,169.43882414658967,2.231960504600901,mean_revert
XLV-IHI,2022-11-17 15:03:00+00:00,2022-11-18 14:30:00+00:00,1,23.427189206601746,0.2021106789087966,725.4343359921826,1623.2677086714352,-328.07973865031045,50.58,132.12,51.45,134.39,0.4499478959680445,0.8611566548450824,0.4112087588770379,-2.8065200266115773,-0.3629047020236233,2.443615324587954,661.1215118235393,6.380387984418028,mean_revert
SLB-HAL,2022-11-18 14:30:00+00:00,2022-11-18 14:31:00+00:00,1,0.23291121324222872,0.6991272926786252,719.7262196222256,1014.6611911240366,-709.3773315366168,35.9,51.32,35.44,51.19,-0.2121238735092703,-0.5812373254610463,-0.36911345195177603,-2.651532463261093,-4.467134637957139,-1.8156021746960462,-378.13872572803547,3.6136309107397633,adverse
MAR-HLT,2022-11-18 14:31:00+00:00,2022-11-18 14:38:00+00:00,-1,13.600261705034976,0.7631435750005557,208.80980328904414,-190.49969750469327,145.37862019025607,140.82,163.01,139.52,162.44,2.8197041341244358,1.95469597187477,-0.8650081622496657,1.854024453760895,-0.13588473940229567,-1.9899091931631907,162.27410220467502,2.509691042978,mean_revert
TMO-DHR,2022-11-18 14:52:00+00:00,2022-11-18 14:53:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,109.92464912645129,-70.57083123660298,262.49,537.32,262.66,538.19,-12.585786099903885,-12.974319819717891,-0.3885337198140064,-2.9403742909316772,-3.220527620462661,-0.2801533295309837,-46.0520990244855,3.3426662001390532,adverse
